SZ002668    奥马电器    
SZ002070    众和股份    
SZ150195    互联网B        
SZ150206    国防B     
SH600303    曙光股份    
SH600610    中毅达     
SZ002749    国光股份    
SH600247    *ST成城       
SZ002052    同洲电子    
SZ000520    长航凤凰    
SZ002673    西部证券    
SH603600    永艺股份    
SZ002134    天津普林    
SH600988    赤峰黄金    
SZ002568    百润股份    
SZ002280    联络互动    
SZ000048    康达尔     
SZ000049    德赛电池    
SZ002701    奥瑞金     
SZ002236    大华股份    
SH601155    新城控股    
SZ002367    康力电梯    
SZ002032    苏 泊 尔   
SZ002304    洋河股份    
